Sr.,Stock Name,Symbol
18,Engineers India Limited,ENGINERSIN
26,Nhpc Limited,NHPC
15,Bharat Petroleum Corporation Limited,BPCL
24,Indian Oil Corporation Limited,IOC
1,Abbott India Limited,ABBOTINDIA
23,Aditya Birla Capital Ltd,ABCAPITAL
27,Gmr Infrastructure Limited,GMRINFRA
25,Steel Authority Of India Limited,SAIL
21,Mangalore Refinery And Petrochemicals Limited,MRPL
20,Castrol India Limited,CASTROLIND
22,Redington (india) Limited,REDINGTON
19,Nmdc Limited,NMDC
13,Can Fin Homes Limited,CANFINHOME
17,V-guard Industries Limited,VGUARD
9,Central Depository Services Ltd,CDSL
10,Bharat Dynamics Ltd,BDL
4,Sundaram Finance Limited,SUNDARMFIN
12,Century Textiles & Industries Limited,CENTURYTEX
16,The Indian Hotels Company Limited,INDHOTEL
6,Schaeffler India Ltd,SCHAEFFLER
3,Titan Company Limited,TITAN
5,Timken India Limited,TIMKEN
11,Patanjali Foods Ltd,PATANJALI
14,Century Plyboards (india) Limited,CENTURYPLY
8,Mphasis Limited,MPHASIS
7,Eclerx Services Limited,ECLERX
2,Bayer Cropscience Limited,BAYERCROP
,IDFC,IDFC
